Time,Queue Length,Mean Response Time,Mean Waiting Time,Utilization,Reliability
0,0,0.000000,0.000000,0.000000,1.000000
1,0,0.000000,0.000000,0.000000,1.000000
2,0,0.000000,0.000000,0.000000,1.000000
3,0,0.000000,0.000000,0.000000,1.000000
4,0,0.000000,0.000000,0.000000,1.000000
5,1,0.000000,0.000000,0.093049,1.000000
6,1,0.000000,0.000000,0.244207,1.000000
7,2,0.000000,0.000000,0.352178,1.000000
8,3,0.000000,0.000000,0.433156,1.000000
9,3,0.000000,0.000000,0.496138,1.000000
10,3,0.981808,0.916967,0.546524,1.000000
11,3,0.981808,0.916967,0.587749,1.000000
12,3,0.981808,0.916967,0.622104,1.000000
13,4,0.818173,0.764139,0.651173,1.000000
14,4,0.818173,0.764139,0.676089,1.000000
15,3,2.384201,2.024328,0.697683,1.000000
16,4,2.043601,1.735138,0.716578,1.000000
17,3,3.501387,3.029720,0.733250,1.000000
18,3,3.501387,3.029720,0.748069,1.000000
19,2,5.066461,4.423535,0.761329,1.000000
20,1,6.491684,5.377113,0.773262,1.000000
21,1,6.491684,5.377113,0.784059,1.000000
22,2,5.680223,4.704974,0.793875,1.000000
23,2,5.680223,4.704974,0.802837,1.000000
24,2,5.680223,4.704974,0.811052,1.000000
25,2,5.680223,4.704974,0.818610,1.000000
26,0,8.595403,6.533610,0.825586,1.000000
27,0,8.595403,6.533610,0.832046,1.000000
28,0,8.595403,6.533610,0.838044,1.000000
29,0,9.563577,6.533610,0.843629,1.000000
30,0,8.500957,5.807653,0.826681,1.000000
31,3,6.375718,4.355740,0.832272,1.000000
32,3,6.375718,4.355740,0.837513,1.000000
33,3,6.375718,4.355740,0.842437,1.000000
34,3,6.375718,4.355740,0.847071,1.000000
35,3,6.375718,4.355740,0.851441,1.000000
36,3,6.375718,4.355740,0.855567,1.000000
37,3,6.375718,4.355740,0.859471,1.000000
38,3,6.375718,4.355740,0.863169,1.000000
39,3,6.375718,4.355740,0.866677,1.000000
40,7,4.781789,3.266805,0.870011,1.000000
41,7,4.781789,3.266805,0.873181,1.000000
42,7,4.781789,3.266805,0.876201,1.000000
43,7,4.781789,3.266805,0.879080,1.000000
44,7,4.781789,3.266805,0.881828,1.000000
45,7,4.781789,3.266805,0.884454,1.000000
46,8,4.500507,3.074640,0.886966,1.000000
47,9,4.250479,2.903827,0.889371,1.000000
48,9,4.250479,2.903827,0.891675,1.000000
49,9,4.250479,2.903827,0.893886,1.000000
50,9,4.250479,2.903827,0.896008,1.000000
51,9,4.250479,2.903827,0.898047,1.000000
