,Time,Queue length
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.25
15,15,0.25
16,16,0.25
17,17,0.25
18,18,0.25
19,19,0.25
20,20,0.25
21,21,0.25
22,22,0.5
23,23,0.5
24,24,0.5
25,25,0.5
26,26,0.5
27,27,0.5
28,28,0.25
29,29,0.25
30,30,0.25
31,31,0.25
32,32,0.25
33,33,0.25
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.25
45,45,0.25
46,46,0.25
47,47,0.5
48,48,0.5
49,49,0.5
50,50,0.25
51,51,0.75
52,52,0.75
53,53,0.75
54,54,0.75
55,55,0.75
56,56,1.0
57,57,1.25
58,58,1.25
59,59,1.0
60,60,0.75
61,61,1.25
62,62,1.0
63,63,1.0
64,64,1.25
65,65,1.25
66,66,1.5
67,67,1.75
68,68,2.0
69,69,2.25
70,70,2.25
71,71,2.25
72,72,2.5
73,73,2.5
74,74,2.5
75,75,2.5
76,76,2.25
77,77,2.25
78,78,2.75
79,79,2.75
80,80,2.75
81,81,3.0
82,82,3.25
83,83,3.5
84,84,4.0
85,85,4.0
86,86,4.25
87,87,4.0
88,88,4.25
89,89,4.25
90,90,4.25
91,91,4.25
92,92,4.25
93,93,4.25
94,94,4.25
95,95,4.25
96,96,4.25
97,97,4.25
98,98,4.5
99,99,4.5
100,100,5.0
101,101,5.0
102,102,5.25
103,103,5.25
104,104,5.25
105,105,5.0
106,106,5.0
107,107,5.25
108,108,5.25
109,109,5.25
110,110,5.0
111,111,5.25
112,112,5.5
113,113,6.0
114,114,5.75
115,115,5.75
116,116,5.75
117,117,5.75
118,118,5.5
119,119,5.5
120,120,5.5
121,121,5.75
122,122,5.75
123,123,6.25
124,124,6.25
125,125,6.25
126,126,6.5
127,127,6.5
128,128,6.5
129,129,6.75
130,130,6.75
131,131,6.75
132,132,6.75
133,133,7.0
134,134,6.5
135,135,6.25
136,136,6.75
137,137,6.75
138,138,6.75
139,139,7.0
140,140,6.25
141,141,6.25
142,142,6.5
143,143,6.75
144,144,6.75
145,145,7.0
146,146,6.75
147,147,7.0
148,148,7.0
149,149,7.0
150,150,7.0
151,151,7.25
152,152,7.75
153,153,7.75
154,154,7.5
155,155,7.25
156,156,7.25
157,157,7.0
158,158,7.25
159,159,7.25
160,160,7.25
161,161,7.5
162,162,7.5
163,163,7.5
164,164,7.5
165,165,7.75
166,166,7.75
167,167,7.75
168,168,8.0
169,169,8.0
170,170,7.5
171,171,7.25
172,172,7.0
173,173,7.0
174,174,7.25
175,175,7.0
176,176,7.0
177,177,6.75
178,178,6.25
179,179,6.25
180,180,6.0
181,181,6.0
182,182,6.25
183,183,6.5
184,184,6.25
185,185,6.0
186,186,5.75
187,187,6.0
188,188,6.0
189,189,6.0
190,190,6.0
191,191,5.75
192,192,5.75
193,193,5.75
194,194,5.75
195,195,6.0
196,196,6.25
197,197,6.25
198,198,7.0
199,199,6.5
200,200,6.75
201,201,6.5
202,202,6.25
203,203,6.5
204,204,6.5
205,205,6.5
206,206,6.25
207,207,6.25
208,208,6.0
209,209,6.0
210,210,6.0
211,211,6.0
212,212,6.0
213,213,6.0
214,214,5.5
215,215,5.0
216,216,5.0
217,217,4.5
218,218,4.25
219,219,4.25
220,220,4.5
221,221,5.0
222,222,4.75
223,223,4.75
224,224,5.0
225,225,5.25
226,226,5.75
227,227,6.0
228,228,5.75
229,229,5.75
230,230,6.0
231,231,6.0
232,232,5.75
233,233,6.0
234,234,6.25
235,235,6.5
236,236,6.0
237,237,5.75
238,238,5.75
239,239,5.75
240,240,5.25
241,241,4.75
242,242,4.75
243,243,4.75
244,244,4.5
245,245,4.75
246,246,5.0
247,247,5.0
248,248,5.25
249,249,5.5
250,250,5.5
251,251,5.5
252,252,5.25
253,253,5.25
254,254,5.0
255,255,5.0
256,256,4.75
257,257,5.0
258,258,5.0
259,259,5.0
260,260,5.5
261,261,5.75
262,262,5.75
263,263,5.75
264,264,5.5
265,265,5.5
266,266,5.5
267,267,5.5
268,268,5.5
269,269,5.5
270,270,5.25
271,271,5.5
272,272,5.5
273,273,5.75
274,274,5.75
275,275,5.75
276,276,5.75
277,277,5.75
278,278,5.5
279,279,5.25
280,280,5.25
281,281,5.5
282,282,5.75
283,283,5.75
284,284,5.75
285,285,5.5
286,286,5.25
287,287,5.5
288,288,5.5
289,289,5.25
290,290,5.5
291,291,5.25
292,292,5.25
293,293,5.25
294,294,5.25
295,295,5.25
296,296,5.25
297,297,5.25
298,298,5.25
299,299,5.25
300,300,5.5
301,301,5.75
302,302,5.5
303,303,5.5
304,304,5.25
305,305,5.5
306,306,5.5
307,307,5.75
308,308,6.25
309,309,6.25
310,310,6.25
311,311,6.25
312,312,6.5
313,313,6.25
314,314,6.25
315,315,6.5
316,316,6.5
317,317,6.5
318,318,6.25
319,319,6.25
320,320,6.0
321,321,6.0
322,322,6.0
323,323,6.0
324,324,5.75
325,325,5.75
326,326,5.5
327,327,5.5
328,328,5.25
329,329,5.25
330,330,5.25
331,331,5.25
332,332,5.0
333,333,5.0
334,334,5.0
335,335,5.0
336,336,5.0
337,337,4.5
338,338,4.75
339,339,4.75
340,340,4.75
341,341,5.25
342,342,5.5
343,343,5.75
344,344,5.75
345,345,5.25
346,346,5.5
347,347,5.5
348,348,5.5
349,349,5.5
350,350,6.0
351,351,6.25
352,352,6.0
353,353,6.25
354,354,6.0
355,355,6.0
356,356,6.0
357,357,6.5
358,358,6.5
359,359,6.5
360,360,6.75
361,361,6.75
362,362,6.75
363,363,6.5
364,364,6.5
365,365,6.5
366,366,6.25
367,367,6.25
368,368,6.25
369,369,6.25
370,370,6.25
371,371,6.25
372,372,5.75
373,373,5.75
374,374,5.75
375,375,5.75
376,376,5.5
377,377,5.0
378,378,5.0
379,379,5.0
380,380,5.0
381,381,5.25
382,382,5.0
383,383,5.0
384,384,5.0
385,385,5.0
386,386,5.25
387,387,6.0
388,388,5.75
389,389,5.75
390,390,6.0
391,391,6.0
392,392,6.0
393,393,6.0
394,394,6.0
395,395,6.0
396,396,6.0
397,397,6.0
398,398,6.0
399,399,6.0
400,400,6.25
401,401,6.5
402,402,6.5
403,403,6.75
404,404,6.5
405,405,7.25
406,406,7.25
407,407,7.25
408,408,7.5
409,409,7.5
410,410,7.25
411,411,7.0
412,412,7.25
413,413,7.25
414,414,7.25
415,415,7.25
416,416,7.25
417,417,7.25
418,418,7.0
419,419,7.25
420,420,7.25
421,421,7.25
422,422,7.75
423,423,7.75
424,424,7.75
425,425,7.25
426,426,7.25
427,427,7.25
428,428,7.25
429,429,7.25
430,430,7.5
431,431,7.5
432,432,7.5
433,433,7.75
434,434,7.75
435,435,8.0
436,436,8.0
437,437,8.25
438,438,8.5
439,439,8.5
440,440,8.75
441,441,9.0
442,442,9.0
443,443,9.0
444,444,8.75
445,445,8.75
446,446,9.0
447,447,9.0
448,448,9.25
449,449,8.75
450,450,9.0
451,451,9.0
452,452,9.0
453,453,8.5
454,454,8.25
455,455,7.75
456,456,7.5
457,457,7.0
458,458,6.75
459,459,6.75
460,460,6.75
461,461,6.75
462,462,6.75
463,463,6.5
464,464,6.75
465,465,6.75
466,466,6.75
467,467,6.75
468,468,6.75
469,469,6.5
470,470,6.25
471,471,6.25
472,472,6.5
473,473,6.5
474,474,6.5
475,475,6.5
476,476,6.5
477,477,6.5
478,478,6.5
479,479,6.25
480,480,6.5
481,481,6.5
482,482,6.75
483,483,6.5
484,484,6.5
485,485,6.5
486,486,6.75
487,487,6.75
488,488,7.0
489,489,7.0
490,490,7.0
491,491,7.25
492,492,7.25
493,493,7.25
494,494,6.75
495,495,7.0
496,496,7.25
497,497,7.25
498,498,7.25
499,499,7.5
500,500,7.25
501,501,7.5
502,502,8.0
503,503,7.75
504,504,7.5
505,505,7.25
506,506,7.25
507,507,7.25
508,508,7.5
509,509,7.75
510,510,7.5
511,511,7.75
512,512,8.25
513,513,8.0
514,514,8.25
515,515,8.5
516,516,8.75
517,517,9.0
518,518,9.0
519,519,9.0
520,520,9.0
521,521,8.5
522,522,9.0
523,523,9.0
524,524,9.25
525,525,9.25
526,526,9.0
527,527,9.25
528,528,9.0
529,529,9.25
530,530,9.25
531,531,9.25
532,532,9.25
533,533,9.25
534,534,9.25
535,535,9.25
536,536,9.5
537,537,9.5
538,538,9.5
539,539,9.75
540,540,9.5
541,541,9.75
542,542,9.75
543,543,10.0
544,544,10.0
545,545,10.25
546,546,9.75
547,547,9.75
548,548,9.75
549,549,9.75
550,550,9.5
551,551,9.5
552,552,9.5
553,553,9.5
554,554,9.5
555,555,9.5
556,556,9.5
557,557,9.75
558,558,9.5
559,559,9.5
560,560,9.5
561,561,9.25
562,562,9.5
563,563,9.75
564,564,9.75
565,565,9.5
566,566,9.25
567,567,9.25
568,568,9.25
569,569,9.25
570,570,9.0
571,571,9.0
572,572,9.0
573,573,8.75
574,574,8.5
575,575,8.5
576,576,8.25
577,577,8.5
578,578,8.25
579,579,8.5
580,580,9.25
581,581,9.25
582,582,9.25
583,583,9.5
584,584,9.5
585,585,9.5
586,586,9.25
587,587,9.25
588,588,9.0
589,589,9.0
590,590,9.25
591,591,9.25
592,592,9.25
593,593,9.25
594,594,9.25
595,595,9.75
596,596,10.25
597,597,10.25
598,598,10.75
599,599,10.75
600,600,10.25
601,601,9.75
602,602,10.0
603,603,10.0
604,604,10.0
605,605,10.0
606,606,10.0
607,607,10.0
608,608,9.25
609,609,9.5
610,610,9.75
611,611,9.75
612,612,9.75
613,613,9.75
614,614,9.25
615,615,8.75
616,616,9.0
617,617,9.0
618,618,8.75
619,619,8.75
620,620,9.5
621,621,9.75
622,622,9.75
623,623,10.0
624,624,10.0
625,625,10.0
626,626,10.25
627,627,10.25
628,628,10.25
629,629,10.25
630,630,10.25
631,631,10.25
632,632,10.25
633,633,10.0
634,634,9.75
635,635,9.25
636,636,9.5
637,637,9.5
638,638,9.75
639,639,10.0
640,640,10.25
641,641,10.25
642,642,10.25
643,643,10.75
644,644,11.25
645,645,11.25
646,646,11.5
647,647,11.5
648,648,11.5
649,649,12.0
650,650,12.0
651,651,12.25
652,652,12.25
653,653,12.5
654,654,12.5
655,655,12.5
656,656,12.5
657,657,12.5
658,658,12.5
659,659,12.75
660,660,12.5
661,661,12.5
662,662,12.75
663,663,12.75
664,664,13.0
665,665,13.0
666,666,13.0
667,667,13.0
668,668,13.25
669,669,13.25
670,670,13.25
671,671,13.0
672,672,12.75
673,673,12.5
674,674,12.75
675,675,13.0
676,676,13.0
677,677,13.0
678,678,13.0
679,679,13.0
680,680,12.75
681,681,12.75
682,682,12.5
683,683,12.25
684,684,12.25
