,L,Mean n-L
0,0,90.86332
1,1,90.86513730274605
2,2,90.86695467818713
3,3,90.86877212632758
4,4,90.87058964717177
5,5,90.87240724072407
6,6,90.87422490698884
7,7,90.87604264597043
8,8,90.87786045767322
9,9,90.87967834210158
10,10,90.88149629925985
11,11,90.88331432915241
12,12,90.88513243178363
13,13,90.88695060715786
14,14,90.88876885527948
15,15,90.8905821746524
16,16,90.8923955665813
17,17,90.89420903107056
18,18,90.89602256812452
19,19,90.89783617774755
20,20,90.89964985994398
21,21,90.90146361471818
22,22,90.90327744207451
23,23,90.90508633971626
24,24,90.90689530974868
25,25,90.90870435217609
26,26,90.91051346700284
27,27,90.9123226542333
28,28,90.91413191387177
29,29,90.91594624882431
30,30,90.91776065639384
31,31,90.91957513658468
32,32,90.92138968940122
33,33,90.9232043148478
34,34,90.92501901292879
35,35,90.926838787151
36,36,90.92865863421663
37,37,90.93047855413006
38,38,90.93229854689564
39,39,90.93411861251776
40,40,90.9359387510008
41,41,90.93775896234912
42,42,90.93957924656712
43,43,90.94139960365915
44,44,90.9432200336296
45,45,90.94503553197877
46,46,90.94685110301478
47,47,90.94866674674194
48,48,90.95047745836003
49,49,90.95228824247762
50,50,90.9540990990991
51,51,90.955915033334
52,52,90.95772102987107
53,53,90.95952709872465
54,54,90.96133323989909
55,55,90.96313945339874
56,56,90.96494573922793
57,57,90.96674709168452
58,58,90.96854351047214
59,59,90.97034000120142
60,60,90.97214156988386
61,61,90.97394821682452
62,62,90.97574492370539
63,63,90.97754670885315
64,64,90.97934856616469
65,65,90.98114548913588
66,66,90.98294248407899
67,67,90.98473454428935
68,68,90.98652166947048
69,69,90.98830385932587
70,70,90.99008111355899
71,71,90.99185843898336
72,72,90.99363583560327
73,73,90.99540829611233
74,74,90.99718082762489
75,75,90.99895343014522
76,76,91.0007261036776
77,77,91.00250385593814
78,78,91.00428167941989
79,79,91.00604955830212
80,80,91.00781750801282
81,81,91.00958552855626
82,82,91.01134861172322
83,83,91.01310675721697
84,84,91.01485996474077
85,85,91.01660322548332
86,86,91.01834655607645
87,87,91.02008494780918
88,88,91.0218284180157
89,89,91.02356694916952
90,90,91.02530554998998
91,91,91.02704422048127
92,92,91.02878296064759
93,93,91.03052177049312
94,94,91.03226065002204
95,95,91.03399959923856
96,96,91.03573861814684
97,97,91.03747770675109
98,98,91.03921686505551
99,99,91.04095108314462
100,100,91.04268537074148
101,101,91.04440970760938
102,102,91.04613411359173
103,103,91.04785357837144
104,104,91.0495731120731
105,105,91.05129271470088
106,106,91.05301739688139
107,107,91.05474214819714
108,108,91.05646195782892
109,109,91.05818183640336
110,110,91.05990178392463
111,111,91.06162681152158
112,112,91.06334689704939
113,113,91.06506204021088
114,114,91.06676722928276
115,115,91.06847749824597
116,116,91.07018783577901
117,117,91.07189824188602
118,118,91.0736087165711
119,119,91.0753242717668
120,120,91.0770398957498
121,121,91.07875558852423
122,122,91.0804663378644
123,123,91.08217715580328
124,124,91.08387801748336
125,125,91.08557894736842
126,126,91.08727994546257
127,127,91.08897599903756
128,128,91.09067212062881
129,129,91.09236831024042
130,130,91.09405955484259
131,131,91.09575086727226
132,132,91.0974422475335
133,133,91.09913369563037
134,134,91.10082019813099
135,135,91.10251679534744
136,136,91.10421847424996
137,137,91.10591019393136
138,138,91.10760198146886
139,139,91.10929383686648
140,140,91.11098074608906
141,141,91.11268276539842
142,142,91.11438485298247
143,143,91.11608199450428
144,144,91.11777418966624
145,145,91.11946645271287
146,146,91.1211537690055
147,147,91.12284616773313
148,148,91.12453361951376
149,149,91.1262211389942
150,150,91.12790872617853
151,151,91.12959638107084
152,152,91.13127908842883
153,153,91.13295183260777
154,154,91.13462464390322
155,155,91.1363025378674
156,156,91.13798551480619
157,157,91.13966855927613
158,158,91.14135668713133
159,159,91.14303986677635
160,160,91.14472311396469
161,161,91.14640642870042
162,162,91.14808479473494
163,163,91.14976322812369
164,164,91.1514417288707
165,165,91.15312029698003
166,166,91.15479391580045
167,167,91.15646760178998
168,168,91.15814135495265
169,169,91.15981015833518
170,170,91.16147902869757
171,171,91.16315800036124
172,172,91.16484205667496
173,173,91.16653119794489
174,174,91.16822040701642
175,175,91.16990466633216
176,176,91.17159401091843
177,177,91.17328342331855
178,178,91.17497792140018
179,179,91.1766825234339
180,180,91.17838719389803
181,181,91.18009695096248
182,182,91.18180677666707
183,183,91.18351165264869
184,184,91.18521157860928
185,185,91.18691659138814
186,186,91.1886266912916
187,187,91.19034187862606
188,188,91.19205211595599
189,189,91.19376242195499
190,190,91.19547279662719
191,191,91.19718323997671
192,192,91.19889877128172
193,193,91.20061437147389
194,194,91.20233004055736
195,195,91.2040457785363
196,196,91.20575656573769
197,197,91.20746240186334
198,198,91.20916830649371
199,199,91.21085921969438
200,200,91.21256024096385
201,201,91.21425631036767
202,202,91.21595746817141
203,203,91.2176637146816
204,204,91.21936500923769
205,205,91.22106637212572
206,206,91.2227678033498
207,207,91.22447432370012
208,208,91.2261809125964
209,209,91.22789259103051
210,210,91.22960433822053
211,211,91.2313161541706
212,212,91.23302803888487
213,213,91.23473999236748
214,214,91.23645201462259
215,215,91.23817414884002
216,216,91.23990639562912
217,217,91.24163871201013
218,218,91.24338114177816
219,219,91.24512866354634
220,220,91.24687625552431
221,221,91.24861889551819
222,222,91.25035156093053
223,223,91.25208931835988
224,224,91.25382714561235
225,225,91.25556002009041
226,226,91.25728794149556
227,227,91.25900588672573
228,228,91.26071887808406
229,229,91.26243696128267
230,230,91.26415511352221
231,231,91.26586831159959
232,232,91.26758157852436
233,233,91.26929993770973
234,234,91.27101334244263
235,235,91.27272179242439
236,236,91.27442528735632
237,237,91.2761388983783
238,238,91.2778576021864
239,239,91.27957637507285
240,240,91.2812952170418
241,241,91.28302417653087
242,242,91.28476325415009
243,243,91.28650240167212
244,244,91.28824161910121
245,245,91.2899859310622
246,246,91.29172528841902
247,247,91.29345969087291
248,248,91.29519416304872
249,249,91.29692367992604
250,250,91.29864824120602
251,251,91.30037287181652
252,252,91.30209757176168
253,253,91.30382736647437
254,254,91.30555723073212
255,255,91.30729219016986
256,256,91.30902721936314
257,257,91.31076734414893
258,258,91.31250251296692
259,259,91.31423775155305
260,260,91.31597305991154
261,261,91.31769838557268
262,262,91.31941875427239
263,263,91.32113919215071
264,264,91.32285969921183
265,265,91.32458530210114
266,266,91.32631097438372
267,267,91.32803671606378
268,268,91.3297625271455
269,269,91.33148840763306
270,270,91.33321435753066
271,271,91.33494540409016
272,272,91.3366714929215
273,273,91.33839765117541
274,274,91.34011885130515
275,275,91.34184012066365
276,276,91.34356145925508
277,277,91.34528286708364
278,278,91.34700434415349
279,279,91.34873091852538
280,280,91.35046259050684
281,281,91.35219433214667
282,282,91.35392111508911
283,283,91.35564293903494
284,284,91.35736483224716
285,285,91.35908679472996
286,286,91.36081385525205
287,287,91.36254601412105
288,288,91.36427321371097
289,289,91.36600048279053
290,290,91.36773285053309
291,291,91.36946025870567
292,292,91.37119276575199
293,293,91.37292534250709
294,294,91.37465798897517
295,295,91.37639070516045
296,296,91.37812349106711
297,297,91.3798563466994
298,298,91.38158927206149
299,299,91.38332226715761
300,300,91.38505533199195
301,301,91.38678343628645
302,302,91.38850657974164
303,303,91.39023482302754
304,304,91.39196313586606
305,305,91.39369654894858
306,306,91.39542500100616
307,307,91.39715352262894
308,308,91.39887708283024
309,309,91.40059065021835
310,310,91.40230428657678
311,311,91.40401799190968
312,312,91.40573176622122
313,313,91.4074405780184
314,314,91.40915449019845
315,315,91.41086847136962
316,316,91.41257748973513
317,317,91.41428657689752
318,318,91.41599573286099
319,319,91.4177099897345
320,320,91.41942431561996
321,321,91.42114374282896
322,322,91.42286323926083
323,323,91.42458280491978
324,324,91.42630243980997
325,325,91.42802717664821
326,326,91.42975198292869
327,327,91.43148189157087
328,328,91.43321186986633
329,329,91.43494695093716
330,330,91.43668210187236
331,331,91.43841732267612
332,332,91.44015261335267
333,333,91.44189300742948
334,334,91.44363347159022
335,335,91.44537400583913
336,336,91.4471146101804
337,337,91.44885528461833
338,338,91.45060609721719
339,339,91.45235194619521
340,340,91.4540978654853
341,341,91.45584385509173
342,342,91.45757984614765
343,343,91.45931087258595
344,344,91.46103693410666
345,345,91.46276306514953
346,346,91.46449933540097
347,347,91.46623064064609
348,348,91.46796201562877
349,349,91.46969346035327
350,350,91.47142497482376
351,351,91.4731464883482
352,352,91.47486303577183
353,353,91.47658468789655
354,354,91.47830137372598
355,355,91.48002316446772
356,356,91.48174502457498
357,357,91.48346695405193
358,358,91.48517888078644
359,359,91.48689087649322
360,360,91.48860294117647
361,361,91.49031003847782
362,362,91.49201720456102
363,363,91.49372443943027
364,364,91.49543677975663
365,365,91.49714918908029
366,366,91.49886166740541
367,367,91.50057925170753
368,368,91.50229690522244
369,369,91.5040146279543
370,370,91.50573241990732
371,371,91.50745028108565
372,372,91.50916821149352
373,373,91.51089628629576
374,374,91.51262443074195
375,375,91.51435264483626
376,376,91.51608092858294
377,377,91.51781431997259
378,378,91.51955785740196
379,379,91.5213014651055
